armenian,translations
ՑՐՏԱԴՈՂ,дрожащий от холода;трепещущий
ՑՐՏԱԿԱՊԱՆ,"студёный, морозный, очень холодный"
ՑՐՏԱՀԱՐ,"замёрзший;отмороженный, обмороженный"
ՑՐՏԱՀԱՐԵԼ,"замораживать, заморозить;отмораживать, отморозить, обмораживать, обморозить"
ՑՐՏԱՀԱՐՈՒԹՅՈՒՆ,"замерзание;отмораживание, отморожение, обмораживание, обморожение;обмерзание"
ՑՐՏԱՀԱՐՈՒՄ,"замерзание;отмораживание, отморожение, обмораживание, обморожение;обмерзание"
ՑՐՏԱՀԱՐՎԵԼ,"замерзать, замёрзнуть;отмораживаться, отморозиться, обмораживаться, обморозиться;отмерзать, отмёрзнуть"
ՑՐՏԱՀԵՐԿ,зябь
ՑՐՏԱՀԵՐԿԵԼ,"поднимать, поднять зябь"
ՑՐՏԱՄԱՀՈՒԹՅՈՒՆ,"замерзание, гибель от холода, мороза"
ՑՐՏԱՆԱԼ,"холодать, похолодать;охладевать, охладеть;остывать, остыть"
ՑՐՏԱՇՈՒՆՉ,"холодный, дышащий холодом"
ՑՐՏԱՌՈՒԹՅՈՒՆ,простуда
ՑՐՏԱՍԱՐՍՈՒՌ,"дрожащий от холода;морозный, студёный"
ՑՐՏԱՍՈՎՈՐ,"привычный к холоду, к морозу"
ՑՐՏԱՏԱՐ,"отмороженный, обмороженный;мёрзлый, зябнущий, зябкий"
ՑՐՏԱՐԱՆ,охладитель
ՑՐՏԱՑՈՒՄ,"выхолаживание, выстуживание"
ՑՐՏԱՑՈՒՑԻՉ,охлаждающий
ՑՐՏԵԼ,"холодеть, похолодеть, похолодать;разг"
ՑՐՏԵՑՆԵԼ,"охлаждать, охладить, выстуживать, выстудить"
ՑՐՏԻՆ,"морозный, студёный, очень холодный"
ՑՐՏԿԱԼ,"брызгать, брызнуть;бить, струиться"
ՑՐՏԿԵԼ,"брызгать, брызнуть;бить, струиться"
ՑՐՏԿՈՆ,брызги
ՑՐՏՈՒԹՅՈՒՆ,"холод, стужа"
ՑՐՑԱՄ,"спрыскивать, спрыснуть"
ՑՐՑԱՄԵԼ,"спрыскивать, спрыснуть"
ՑՐՑԱՄՈՒՄ,спрыскивание
ՑՑԱԳԵՐԱՆ,свая
ՑՑԱՀԱՆ,посаженный на кол;надетый на кол
ՑՑԱՀԱՐ,"забивающий сваи;сваебой, сваебоец;свайная баба, копёр"
ՑՑԱՀԱՐԵԼ,"сажать, посадить на кол"
ՑՑԱՆԻՇ,"веха, вешка"
ՑՑԱՇԵՆ,свайный
ՑՑԱՉՈՐ,сухостойный;сухостой
ՑՑԱՊԱՏ,"тыновый;тын, частокол"
ՑՑԱՊԱՏԵԼ,"обносить, обнести тыном, частоколом"
ՑՑԱՊԱՏՆԵՇ,"тын, частокол"
ՑՑԱՊԱՏՎԱՐ,"тын, частокол"
ՑՑԱՎՈՐ,с колом;свайный
ՑՑԱՓԱՅՏ,"деревянный кол, колышек"
ՑՑԵԼ,"втыкать, воткнуть;ставить, поставить колом;топорщить;выпячивать, выпятить;насаживать, насадить"
ՑՑՀԱՐ,"свайная баба, копёр"
ՑՑՈՐՄ,"тыновый;тын, частокол"
ՑՑՈՒՆ,"торчащий;выступающий;рельефный, выпуклый, яркий"
ՑՑՈՒՆԱԶԱՐԴ,"украшенный султаном, эгретом, эгреткой"
ՑՑՈՒՆՈՒԹՅՈՒՆ,"рельефность, выпуклость, яркость"
ՑՑՈՒՆՔ,"султан;эгрет, эгретка, эгретта;хохол, вихор;выступ"
ՑՑՎԱԾՔ,выступ
ՑՑՎԵԼ,"втыкаться, воткнуться;торчать;выпирать;выскочить; вылезать, вылезти;топорщиться"
ՑՓՆԵԼ,"разливать, разлить;разбрызгивать, разбрызгать;рассыпать, рассыпать;транжирить, растранжиривать, растранжирить"
ՑՓՍԻ,ткань из голубой шерсти;одежда из такой ткани;власяница
ՑՔԱՀԱՆ,самогонщик
ՑՔԵՏՈՒՆ,кабак
ՑՔԻ,самогон
Փ,числовое значение восьмитысячный
ՓԱԴԻՇԱՀ,падишах
ՓԱԹ,виток;тур;оборот
ՓԱԹԱԹ,обмотка
ՓԱԹԱԹԱՆ,"повязка;пелёнка;онуча, портянка"
ՓԱԹԱԹԵԼ,"мотать, наматывать, намотать;свёртывать, свернуть;обвивать, обвить;окружать, окружить;кутать, окутывать, укутывать, укутать;обнимать, обнять"
ՓԱԹԱԹՈՐԵԼ,"закутывать, закутать, укутывать, укутать"
ՓԱԹԱԹՈՐՎԵԼ,"закутываться, закутаться, укутываться, укутаться"
ՓԱԹԱԹՈՒԿ,моток
ՓԱԹԱԹՈՒՄ,"мотание, обматывание, обмотка;завёртывание;наматывание, намотка"
ՓԱԹԱԹՎԱԾՔ,обмотка
ՓԱԹԱԹՎԵԼ,"завёртываться, завернуться;обвиваться, обвиться;обвёртываться;навязываться, навязаться"
ՓԱԹԵԹ,свёрток;кроющий лист початка
ՓԱԹԵԹԱԹՈՒՂԹ,оберточная бумага
ՓԱԹԵԹԱՎՈՐԵԼ,"упаковывать, упаковать"
ՓԱԹԵԹԱՎՈՐՈՒՄ,"упаковка, упаковывание"
ՓԱԹԵԹԱՎՈՐՎԵԼ,"упаковываться, упаковаться"
ՓԱԹԵԹԵԼ,"упаковывать, упаковать"
ՓԱԹԵԹԻՉ,упаковщик
ՓԱԹԵԹՈՂ,упаковщик
ՓԱԹԵԹՈՒՄ,"упаковка, упаковывание"
ՓԱԹԵԹՎԵԼ,"упаковываться, упаковаться"
ՓԱԹԹՈՑ,повязка;чалма
ՓԱԹԹՈՑԱՎՈՐ,чалмоносный;чалмоносец
ՓԱԹԻԼ,"снежинка;клок, пучок;хлопок"
ՓԱԹԻԼ-ՓԱԹԻԼ,хлопьями
ՓԱԹԻԼԱՆՄԱՆ,хлопьевидный
ՓԱԹՈԹ,свёрток;повязка;виток
ՓԱԹՈՒՅԹ,виток;моток;свёрток;чалма
ՓԱԼԱՆՎԵԼ,кутаться
ՓԱԼԱՍ,тряпка;палас
ՓԱԼԱՍ-ՓՈՒԼՈՒՍ,тряпьё;пожитки
ՓԱԼԱՍԱՀԱՎԱՔ,тряпичняк
ՓԱԽ,"побег, бегство, поспешное беспорядочное бегство;беженцы"
ՓԱԽԱՌԵԼ,"брать, взять взаймы"
ՓԱԽԵՓԱԽ,"побег, бегство, поспешное беспорядочное бегство"
ՓԱԽԼԱՎԱ,пахлава
ՓԱԽՈՒՍՏ,побег;бегство;уклонение
ՓԱԽՉԵԼ,"бежать, убегать, убежать;уходить, уйти;избегать, избежать;сбегать, сбежать;выскальзывать, выскользнуть;понестись, помчаться"
ՓԱԽՉՏԵԼ,"разбегаться, разбежаться"
ՓԱԽՉՐՏԵԼ,"разбегаться, разбежаться"
ՓԱԽՍ,увернуться;вывернуться
ՓԱԽՍՏԱԿԱՆ,беглый;беглец;беженец
ՓԱԽՍՏԱԿԱՆՈՒԹՅՈՒՆ,беженство;толпа беженцев
ՓԱԽՑՆԵԼ,"уносить, унести;похищать, похитить;умыкать, умыкнуть;угонять, угнать;упускать, упустить;спугивать, спугнуть;срывать, сорвать;отдёргивать, отдёрнуть"
ՓԱԽՑՆՈՎԻ,похищенный
ՓԱԿ,"запор, затвор, засов;замок;затертый;закрытый;замкнутый"
ՓԱԿԱԳԻԾ,скобка
ՓԱԿԱԳԾՎԵԼ,"браться, заключаться в скобки"
ՓԱԿԱԿԱԼ,ключарь
ՓԱԿԱՂԱԿ,затвор
ՓԱԿԱՆ,клапан
ՓԱԿԱՆԱԳՈՐԾ,слесарь
ՓԱԿԱՆԱԳՈՐԾԱԿԱՆ,слесарный
ՓԱԿԱՆԱԳՈՐԾԱՆՈՑ,"слесарная, слесарня"
ՓԱԿԱՆԱԳՈՐԾՈՒԹՅՈՒՆ,"слесарничество, слесарство"
ՓԱԿԱՆՔ,"замок;запор, затвор, засов;запрёт, запрещение"
ՓԱԿԵԼ,"запирать, запереть;затворять, затворить;закрывать, закрыть;замыкать, замкнуть;заграждать, заградить, преграждать, преградить;прекращать, прекратить, завершать, завершить"
ՓԱԿԵՂ,"плёнка, соединительная ткань"
ՓԱԿԻՉ,"задвижка, засов, щеколда"
ՓԱԿՈՏԵԼ,"позапереть, позакрывать"
ՓԱԿՈՑ,"шлюз;заграждение, барьер"
ՓԱԿՈՑԱՅԻՆ,заградительный
ՓԱԿՈՑԱՓԵՂԿ,"ставня, ставень"
ՓԱԿՈՒՂԻ,"тупик;тупик, безвыходное положение"
ՓԱԿՈՒՄ,"запирание;закрытие, закрывание;замыкание;загораживание"
ՓԱԿՉԵԼ,"прилипать, прилипнуть"
ՓԱԿՎԱԾՈՒԹՅՈՒՆ,замкнутость
ՓԱԿՎԱԾՔ,"замок, затор;способ запирания"
ՓԱԿՎԵԼ,"запираться, запереться;затворяться, затвориться;закрываться, закрыться;замыкаться, замкнуться"
ՓԱԿՑՆԵԼ,"вешать, повесить;залеплять, залепить"
ՓԱԿՑՎԵԼ,вешаться
ՓԱՀ,ну
ՓԱՀԼԵՎԱՆ,"канатоходец;борец;удалец , храбрец, молодец"
ՓԱՀԼԵՎԱՆՈՒԹՅՈՒՆ,занятие канатоходца
ՓԱՂԱՆԳ,"фаланга , ряд, шеренга"
ՓԱՂԱՆԳԱՄՈՒՇ,лаванда
ՓԱՂԱՆԳԱՄՈՒՇԿ,лаванда
ՓԱՂԱՔՇԱԲԱՐ,"ласково, ласкательно"
ՓԱՂԱՔՇԱԼԻ,"ласковый, ласкательный;ласково, ласкательно"
ՓԱՂԱՔՇԱԼԻՑ,"ласковый, ласкательный;ласково, ласкательно"
ՓԱՂԱՔՇԱԿԱՆ,"ласковый, ласкательный"
ՓԱՂԱՔՇԱՆՔ,ласка
ՓԱՂԱՔՇԵԼ,"ласкать, обласкать, приласкать"
ՓԱՂԱՔՇՈՏ,"ласковый, ласкательный, ласкающий"
ՓԱՂԱՔՇՈՐԵՆ,"ласково, ласкательно"
ՓԱՂԱՔՇՈՒԹՅՈՒՆ,ласкание
ՓԱՂԱՔՇՈՒՄ,ласкание
ՓԱՂԱՔՈՒՇ,"ласковый, ласкательный;ласково, ласкательно;ласкательный , льстивый, угодливый"
ՓԱՂԻԺ,тарантул
ՓԱՂՓԱՂԵԼ,"блестеть, блеснуть, заблестеть, блистать, заблистать"
ՓԱՂՓԱՂՅՈՒՆ,блеск
ՓԱՂՓԱՂՈՒՆ,блестящий
ՓԱՂՓԵԼ,"блестеть, блеснуть, заблестеть, блистать, заблистать"
ՓԱՂՓՈՒՆ,"светлый, ясный"
ՓԱՄՓՇՏԱԿԱԼ,патронташ
ՓԱՄՓՇՏԱՆՈՑ,патронник
ՓԱՄՓՇՏԱՊԱՐԿ,патронная сумка
ՓԱՄՓՇՏԱՊԱՐԿՈՒՃ,патронная гильза
ՓԱՄՓՇՏԱՏՈՒՓ,патронный ящик
ՓԱՄՓՇՏՈՒԿ,"фукус, фукусовая водоросль"
ՓԱՄՓՈՒՇՏ,патрон
ՓԱՅ,"доля, часть;пай"
ՓԱՅԱԲԱԺԻՆ,"пай, доля"
ՓԱՅԱՏԵՐ,пайщик
ՓԱՅԵԼ,"ласкать, обласкать"
ՓԱՅԻԿ,"пеший, гонец"
ՓԱՅԼ,"сияние, сверкание, блеск;блеск, великолепие, пышность;блеск, слава"
ՓԱՅԼԱԹԻԹԵՂ,фольга
ՓԱՅԼԱԹԻԹԵՂԵ,фольговый
ՓԱՅԼԱԽԱՅԾ,"блестящая наживка, приманка"
ՓԱՅԼԱԾՈՒ,меркурий
ՓԱՅԼԱԿ,"зарница;сияние, блеск"
ՓԱՅԼԱԿԱՆՄԱՆ,зарничный
ՓԱՅԼԱԿԸՆԹԱՑ,молниеносный
ՓԱՅԼԱԿՆԱԲԻԲ,"блестящий, сверкающий"
ՓԱՅԼԱԿՆԱԹԱՓ,молниеносный
ՓԱՅԼԱԿՆԱԼԻՑ,"блестящий, сияющий;гневный, негодующий"
ՓԱՅԼԱԿՆԱՑԱՅՏ,"молниеносный;блестящий, сияющий"
ՓԱՅԼԱԿՆԱՔԱՐ,фульгурит
ՓԱՅԼԱՂՅՈՒՍ,кафель
ՓԱՅԼԱՆԵՐԿ,политура
ՓԱՅԼԱՆՔ,блеск
ՓԱՅԼԱՍԵՆԻ,белоус
ՓԱՅԼԱՏ,матовый
ՓԱՅԼԱՏԱԿՈՒԹՅՈՒՆ,"сверкание, блистание, сияние"
ՓԱՅԼԱՏԱԿՈՒՄ,"сверкание, блистание, сияние"
ՓԱՅԼԱՏԵԼ,"сделать матовым, убрать блеск"
ՓԱՅԼԱՏՈՒԹՅՈՒՆ,матовость
ՓԱՅԼԱՐ,слюда
ՓԱՅԼԱՐԱՅԻՆ,слюдяной
ՓԱՅԼԱՐՁԱԿ,"сверкающий, блистающий, блестящий"
ՓԱՅԼԵՑՈՒՑԻՉ,придающий блеск
ՓԱՅԼԿՏԱԼ,"мелькать, мелькнуть;сверкать, засверкать"
ՓԱՅԼԿՏԵԼ,"мелькать, мелькнуть;сверкать, засверкать"
ՓԱՅԼԿՏՈՒՄ,мелькание
ՓԱՅԼԿՏՈՒՆ,мелькающий
ՓԱՅԼՈՂՈՒԹՅՈՒՆ,блеск
ՓԱՅԼՈՏ,блестящий
ՓԱՅԼՈՒՄ,"блистание, сияние, сверкание"
ՓԱՅԼՈՒՆ,блестящий
ՓԱՅԼՈՒՆԱԿ,блестящий
ՓԱՅԼՈՒՆԱՆԱԼ,"блестеть, заблестеть, лосниться, залосниться"
ՓԱՅԼՈՒՆԱՑՈՒՄ,"полирование, полировка"
ՓԱՅԼՈՒՆԱՑՎԵԼ,"лощиться, залощиться, отполировываться"
ՓԱՅԼՈՒՆՈՒԹՅՈՒՆ,блеск
ՓԱՅԼՓԼԱՆՔ,"блеск, сияние, мерцание"
ՓԱՅԼՓԼԵԼ,"блестеть, сверкать;поблёскивать"
ՓԱՅԼՓԼՈՑ,"блеск, сверкание, мерцание"
ՓԱՅԼՓԼՈՒՄ,"блистание, сверкание"
ՓԱՅԼՓԼՈՒՆ,"переливчатый, блестящий, сверкающий"
ՓԱՅԼՓԼՈՒՆՈՒԹՅՈՒՆ,блеск
ՓԱՅԾԱՂ,селезёнка
ՓԱՅԾԱՂԱԲՈՐԲ,воспаление селезёнки
ՓԱՅԾԱՂԱՅԻՆ,селезёночный
ՓԱՅՏ,"дерево, бревно;дрова;древесина, дерево;палка, посох;трость, посох"
ՓԱՅՏԱԳԻՐ,ксилограф
ՓԱՅՏԱԳՈՐԾ,деревообделочник
ՓԱՅՏԱԳՈՐԾԱԿԱՆ,деревообделочный
ՓԱՅՏԱԳՈՐԾԱՐԱՆ,деревообделочный завод
ՓԱՅՏԱԳՈՐԾՈՒԹՅՈՒՆ,деревообделочное дело
ՓԱՅՏԱԳՐԱԿԱՆ,ксилографический
ՓԱՅՏԱԳՐՈՒԹՅՈՒՆ,ксилография
ՓԱՅՏԱԴՐՎԱԳ,резьба по дереву
ՓԱՅՏԱԹԵՓ,древесные опилки
ՓԱՅՏԱԹԻԹԵՌ,древесная бабочка
ՓԱՅՏԱԹՐԹՈՒՐ,древесная гусеница
ՓԱՅՏԱԼՈՒՂԱՐԿ,лесосплав
ՓԱՅՏԱԼՈՒՂԱՐԿՈՒՄ,лесосплав
ՓԱՅՏԱԽԵԺ,древесная смола
ՓԱՅՏԱԾԱԾԿ,покрытый досками;дощатый навес
ՓԱՅՏԱԾՈՒԽ,древесный уголь
ՓԱՅՏԱԿԵՐՏ,"рубленый, бревенчатый"
ՓԱՅՏԱԿԵՐՏՈՒՄ,"рубка, построение из дерева, брёвен"
ՓԱՅՏԱԿԵՐՏՎԱԾՔ,"сруб, деревянное сооружение, бревенчатая постройка"
ՓԱՅՏԱԿՈԾԵԼ,"избивать, избить палкой"
ՓԱՅՏԱԿՈՒՅՏ,куча дров
ՓԱՅՏԱՀԱՏ,"дровосек, дровокол;топор"
ՓԱՅՏԱՀԱՏՈՒԹՅՈՒՆ,рубка дров
ՓԱՅՏԱՀԱՐԿ,деревянный навес
ՓԱՅՏԱՃԻՃՈՒ,древесный червь
ՓԱՅՏԱՃՃԻ,древесный червь
ՓԱՅՏԱՄԱԾ,леса;дощатая мостовая
ՓԱՅՏԱՄԹԵՐՈՒՄ,лесозаготовка
ՓԱՅՏԱՄՇԱԿՈՒՄ,деревообработка
ՓԱՅՏԱՅԻՆ,древесный
ՓԱՅՏԱՆԱԼ,"деревенеть, одеревенеть;коченеть, окоченеть"
ՓԱՅՏԱՆԿԱՐԻՉ,"ксилограф, гравёр по дереву"
ՓԱՅՏԱՆԿԱՐՉՈՒԹՅՈՒՆ,"ксилография, гравирование по дереву"
ՓԱՅՏԱՆՅՈՒԹ,древесина
ՓԱՅՏԱՆՈՑ,дровяной сарай
ՓԱՅՏԱՇԵՆ,"рубленый, бревенчатый"
ՓԱՅՏԱՐԴՅՈՒՆԱԲԵՐԱԿԱՆ,лесопромышленный
ՓԱՅՏԱՐԴՅՈՒՆԱԲԵՐՈՒԹՅՈՒՆ,лесопромышленность
ՓԱՅՏԱՑԱԾՈՒԹՅՈՒՆ,одеревенелость;окоченелость
ՓԱՅՏԱՑՆԵԼ,"сделать негибким, подобно дереву"
ՓԱՅՏԱՑՈՒՄ,одеревенение;окоченение
ՓԱՅՏԱՔԱՆԴԱԿ,деревянная статуя;изваянный из дерева
ՓԱՅՏԱՔԻՄԻԱ,лесохимия
ՓԱՅՏԱՔԻՄԻԱԿԱՆ,лесохимический
ՓԱՅՏԵ,деревянный
ՓԱՅՏԵՂԵՆ,"деревянный;деревянные изделия;лес, лесоматериал"
ՓԱՅՏԻԿ,палочка
ՓԱՅՏՈՋԻԼ,клоп
ՓԱՅՏՈՒՏԻՃ,древоточец
ՓԱՅՏՓՈՐ,дятел
ՓԱՅՏՓՈՐԻԿ,дятел
ՓԱՅՓԱՅԱԿԱՆ,"ласковый, ласкательный"
ՓԱՅՓԱՅԱՆՔ,ласка
ՓԱՅՓԱՅԵԼ,"ласкать, приласкать, обласкивать, обласкать;лелеять, взлелеять"
ՓԱՅՓԱՅԻՉ,ласкательный
ՓԱՅՓԱՅՈՏ,"ласковый, нежный"
ՓԱՅՓԱՅՈՒՄ,ласкание;лелеяние
ՓԱՅՓԱՅՈՒՆ,"обласканный, приласканный;ласкательный"
ՓԱՅՓԱՅՎԵԼ,лелеяться
ՓԱՆԱՔ,"слабый, хилый;ничтожный;бедный, неимущий"
ՓԱՆԱՔԻ,"слабый, хилый;ничтожный;бедный, неимущий"
ՓԱՆԱՔԻՄԱՑ,слабоумный
ՓԱՆԱՔԻՄԱՑՈՒԹՅՈՒՆ,слабоумие
ՓԱՆԴԻՌ,бандура
ՓԱՆԴԻՌԱՀԱՐ,бандурист
ՓԱՆԴՌԱՀԱՐ,бандурист
ՓԱՇԱ,паша
ՓԱՇԱՅՈՒԹՅՈՒՆ,"звание паши;исполнение обязанностей паши;пашалык, область, управляемая пашой"
ՓԱՊ,"пещера, грот;расщелина ущелье, теснина"
ՓԱՊԱՐ,"пещера, грот;расщелина ущелье, теснина"
ՓԱՌ,лопасть
ՓԱՌ-ՓԱՌ,"ромко, раскатисто"
ՓԱՌԱԲԱՆԱԿԱՆ,хвалебный
ՓԱՌԱԲԱՆԵԼ,"славить, прославлять, прославить, восхвалять, восхвалить"
ՓԱՌԱԲԱՆԵԼԻ,достохвальный
ՓԱՌԱԲԱՆԻՉ,восхваляющий;хвалитель
ՓԱՌԱԲԱՆՈՒԹՅՈՒՆ,"прославление, восхваление"
ՓԱՌԱԲԱՆՈՒՄ,"прославление, восхваление"
ՓԱՌԱԲԱՆՎԵԼ,"прославляться, восхваляться"
ՓԱՌԱԳՈՉ,хвалебный
ՓԱՌԱԶԱՐԴ,"славный, достославный , достохвальный;роскошный"
ՓԱՌԱԶԱՐԴԵԼ,"восславлять, восславить;пышно разукрасить"
ՓԱՌԱԶԱՐԴՈՒԹՅՈՒՆ,роскошь
ՓԱՌԱԶՈՒՐԿ,обесславленный
ՓԱՌԱԶՐԿԵԼ,"бесславить, обесславливать, обесславить"
ՓԱՌԱԶՐԿՎԵԼ,"обесславливаться, обесславиться"
ՓԱՌԱԽՆԴԻՐ,тщеславный
ՓԱՌԱԽՆԴՐՈՒԹՅՈՒՆ,тщеславие
ՓԱՌԱԿԱԶՄ,в роскошном переплёте
ՓԱՌԱԿԱԼԵԼ,"покрываться, покрыться плёнкой"
ՓԱՌԱԿԱԼՎԵԼ,"покрываться, покрыться плёнкой"
ՓԱՌԱՀԵՂ,"великолепный;пышный, роскошный;блистательный, блестящий;славный"
ՓԱՌԱՀԵՂՈՐԵՆ,"великолепно;пышно, роскошно;блистательно, блестяще"
ՓԱՌԱՀԵՂՈՒԹՅՈՒՆ,"великолепие;пышность, роскошность;блистательность"
ՓԱՌԱՄՈԼ,тщеславный
ՓԱՌԱՄՈԼԱԿԱՆ,"тщеславный, властолюбивый"
ՓԱՌԱՄՈԼԵԼ,тщеславиться;устар
ՓԱՌԱՄՈԼՈՒԹՅՈՒՆ,тщеславие
ՓԱՌԱՄՈՐՈՒՍ,с окладистой бородой
ՓԱՌԱՄՈՐՈՒՔ,с окладистой бородой
ՓԱՌԱՇԱՏ,достославный;устар
ՓԱՌԱՇԵՆ,великолепный
ՓԱՌԱՇՈՒՔ,"пышный, роскошный, великолепный"
ՓԱՌԱՇՈՒՔՈՒԹՅՈՒՆ,"пышность, роскошность, великолепие"
ՓԱՌԱՇՔՈՒԹՅՈՒՆ,"пышность, роскошность, великолепие"
ՓԱՌԱՊԱՆԾ,"доблестный, славный"
ՓԱՌԱՊԱՆԾՈՐԵՆ,доблестное славно
ՓԱՌԱՊԱՆԾՈՒԹՅՈՒՆ,доблесть
ՓԱՌԱՊԱՏ,покрытый плёнкой
ՓԱՌԱՊՍԱԿ,"лавровый венок, лавры;лавровенчанный"
ՓԱՌԱՍԵՐ,честолюбивый;честолюбец
ՓԱՌԱՍԻՐԱԿԱՆ,честолюбивый
ՓԱՌԱՍԻՐՈՒԹՅՈՒՆ,честолюбие
ՓԱՌԱՎՈՐ,"великолепный;пышный, роскошный;славный, доблестный;пышно, роскошно"
ՓԱՌԱՎՈՐԱՊԵՍ,"великолепно;пышно, роскошно"
ՓԱՌԱՎՈՐԵԼ,"славить, прославлять, прославить;радовать, доставлять удовольствие"
ՓԱՌԱՎՈՐՈՒԹՅՈՒՆ,"прославление;роскошество;почести;пышность, роскошность"
ՓԱՌԱՎՈՐՈՒՄ,прославление
ՓԱՌԱՎՈՐՎԵԼ,"славиться, прославляться, прославиться;ликовать, возликовать"
ՓԱՌԱՏԵԼ,"растерзать, разорвать"
ՓԱՌԱՏԵՆՉ,тщеславный
ՓԱՌԱՏԵՆՉՈՒԹՅՈՒՆ,тщеславие
ՓԱՌԱՏԵՑՈՒԹՅՈՒՆ,"нелюбовь к славе, к тщеславию"
ՓԱՌԱՏՅԱՑ,"не тщеславный, скромный"
ՓԱՌԱՏՈՆ,юбилей;фестиваль
ՓԱՌԱՏՈՉՈՐ,тщеславный
ՓԱՌԱՏՐԵԼ,славить
ՓԱՌԱՏՐՈՒԹՅՈՒՆ,славление
ՓԱՌԱՏՐՈՒՄ,славление
ՓԱՌԱՏՐՎԵԼ,славиться
ՓԱՌԵՐԳԱԿ,славящий христа
ՓԱՌԵՐԳԵԼ,"славить, восхвалять, восхвалить, прославлять, прославить;славить христа"
ՓԱՌԵՐԳՈՒ,славящий христа
ՓԱՌԵՐԳՈՒԹՅՈՒՆ,"прославление, дифирамб"
ՓԱՌՈՒՆԱԿ,прославленный;достославный
ՓԱՌՓԱՌ,"ромко, раскатисто"
ՓԱՌՓԱՌԵԼ,"сверкать, сверкнуть"
ՓԱՌՔ,"слава;честь;торжественность, блеск"
ՓԱՍ,пас
ՓԱՍԱ-ՓՈՒՍԱ,"сматывать, смотать удочки, собрать манатки"
ՓԱՍԻԱՆ,фазан
ՓԱՍԻԱՆԱԲՈՒԾԱԿԱՆ,фазановодческий
ՓԱՍԻԱՆԱԲՈՒԾՈՒԹՅՈՒՆ,фазановодство
ՓԱՍԻԱՆԱԲՈՒՅԾ,фазановед
ՓԱՍՏ,факт
ՓԱՍՏԱԲԱՆ,адвокат
ՓԱՍՏԱԲԱՆԱԿԱՆ,адвокатский
ՓԱՍՏԱԲԱՆԵԼ,аргументировать;адвокатствовать
ՓԱՍՏԱԲԱՆՈՒԹՅՈՒՆ,аргументация;адвокатство
ՓԱՍՏԱԲԱՆՈՒՄ,аргументирование
ՓԱՍՏԱԳԻՐ,документ
ՓԱՍՏԱԳՐԱԿԱՆ,"документальный, фактографичный , фактографический"
ՓԱՍՏԱԳՐՈՒԹՅՈՒՆ,фактография;книжн
ՓԱՍՏԱԹՈՒՂԹ,документ
ՓԱՍՏԱԼԻ,богатый фактами
ՓԱՍՏԱԼԻՑ,богатый фактами
ՓԱՍՏԱԿԱՆ,фактический;фактичный;документальный
ՓԱՍՏԱՀԱՎԱՔ,собиратель фактов
ՓԱՍՏԱՀԱՎԱՔՈՒՄ,собирание фактов
ՓԱՍՏԱՆԻՇ,улика
ՓԱՍՏԱՆՇԱՆ,улика
ՓԱՍՏԱՇԱՏ,фактичный
ՓԱՍՏԱՌԱՏ,фактичный
ՓԱՍՏԱՌԱՏՈՒԹՅՈՒՆ,фактичность
ՓԱՍՏԱՐԿ,"аргумент, довод"
ՓԱՍՏԱՐԿԵԼ,аргументировать
ՓԱՍՏԱՐԿՈՒԹՅՈՒՆ,аргументация
ՓԱՍՏԱՐԿՈՒՄ,аргументирование
ՓԱՍՏԱՐԿՎԵԼ,аргументироваться
ՓԱՍՏԱՑԻ,фактический;фактически
ՓԱՍՏԵԼ,аргументировать
ՓԱՍՏՈՐԵՆ,фактически
ՓԱՐԱԽ,загон;пасека;пристанище
ՓԱՐԱՋԱ,ряса
ՓԱՐԱՋԱՎՈՐ,"рясоносный, рясофорный;рясник"
ՓԱՐԱՎՈՆ,фараон
ՓԱՐԱՎՈՆԱՄՈՒԿ,"фараонова мышь, ихневмон"
ՓԱՐԱՎՈՆՅԱՆ,фараонский
ՓԱՐԱՏ,"отделённый, разделённый;отдельно, раздельно"
ՓԱՐԱՏԵԼ,"разгонять, разогнать, рассеивать, рассеять;утешать, утешить, рассеивать, рассеять"
ՓԱՐԱՏԻՉ,целительный
ՓԱՐԱՏՈՒԹՅՈՒՆ,утешение;исцеление
ՓԱՐԱՏՈՒՄ,утешение;исцеление;рассеивание
ՓԱՐԱՏՎԵԼ,"разгоняться, рассеиваться;отделяться, отделиться;утешаться, утешиться"
ՓԱՐԵԼ,"надеяться;ласкать, обласкать;обволакивать, обволочь, окутывать, окутать"
ՓԱՐԵԼԻ,"любимый, милый"
ՓԱՐԹԱՄ,"пышный;крупный, рослый;роскошный;богатый;пышно;роскошно"
ՓԱՐԹԱՄԱԿՅԱՑ,"живущий на широкую;большую и т. п;ногу, живущий в роскоши"
ՓԱՐԹԱՄԱՄԱՐՄԻՆ,"крупный, рослый"
ՓԱՐԹԱՄԱՆԱԼ,"разрастаться, разрастись;вырастать, вырасти, крупнеть, покрупнеть"
ՓԱՐԹԱՄԱՇՆՈՐՀ,щедрый
ՓԱՐԹԱՄՈՐԵՆ,"пышно, роскошно"
ՓԱՐԹԱՄՈՒԹՅՈՒՆ,"пышность;крупность, рослость;роскошь"
ՓԱՐԻՍԵՑԻ,"фарисей, лицемер, ханжа"
ՓԱՐԻՍԵՑԻԱԿԱՆ,"фарисейский, лицемерный, ханжеский"
ՓԱՐԻՍԵՑԻՈՒԹՅՈՒՆ,"фарисейство, лицемерие, ханжество"
ՓԱՐՈՍ,маяк
ՓԱՐՈՍԵԼ,"освещать, осветить"
ՓԱՐՈՒՄ,обнимание
